Title,Date,Summary
"OJK Bekukan 1.001 Entitas Ilegal, 850 Ternyata Pinjol Ilegal",19 August 2024 14:20,"Jakarta, CNBC Indonesia- Satuan Tugas Pemberantasan Aktivitas Keuangan Ilegal (Satgas PASTI) berhasil mengidentifikasi 850 entitas pinjaman online ilegal dan sejumlah aktivitas keuangan ilegal lainnya yang berpotensi merugikan masyarakat dan melanggar ketentuan penyebaran data pribadi selama periode Juni hingga Juli 2024.Diantara nama 850 pinjol ilegal tersebut terdapat nama-nama aplikasi seperti CashInd - Pinjaman Uang Tunai Dana Mudah & Cepat, Pinjam Petir - Pinjaman Bunga endah Dan Cepat Bunga Pinjam, Bunga Matahari, Bunga Merah, Senang Dana-pinjaman uang tanpa jaminan dana cepat hingga Pinjam Kilat.Tidak hanya itu, Satgas PASTI juga memblokir 65 tawaran investasi ilegal yang terindikasi sebagai penipuan dengan modus peniruan atau duplikasi nama produk, situs, maupun media sosial milik entitas resmi. Modus ini sering digunakan oleh pelaku untuk menipu masyarakat.Baca:Ini Kabar Terbaru RPK OJK, Demutualisasi hingga Pembayaran KlaimSelain kasus pinjaman online ilegal, Satgas PASTI juga menemukan 27 entitas yang terlibat dalam kegiatan keuangan ilegal lainnya. Teemasuk, 11 entitas menawarkan pekerjaan paruh waktu palsu dan 59 konten penawaran pinjaman pribadi (pinpri).Terungkap pula sebanyak 7 entitas menawarkan investasi tanpa izin. Mereka adalah Ibermart, TRA, Robot Super, Gblobe Finance, Bitapp8.com, Edukasi Bitcoin Holder dan Gold and Silver Brokers Australia (GSB)Satgas PASTI juga menemuka satu entitas melakukan perdagangan aset kripto tanpa izin. Adapun situsnya diketahui bernama imitra.id.Terakhir, ada 8 entitas menjalankan usaha perbankan tanpa izin. Diantaranya, Padang Pariaman Bank, Bank Minang, Nagari Rankayo Mulie Bank, Ekonomi Nagari Bank, Bank Jawa, Kalimantan Bank, PBA Bank dan Bajeng Ri Limbung Bank.""Berkaitan dengan temuan tersebut dan Satgas PASTI telah melakukanpemblokiran dan berkoordinasi dengan aparat penegak hukumagar dapat ditindaklanjuti sesuai ketentuan yang berlaku,"" sebagaimana tertulis dalam keterangan resmi, dikutip Senin, (19/8/2024).Sejak 2017 hingga 31 Juli 2024, Satgas PASTI telah menghentikan aktivitas 10.890 entitas keuangan ilegal, yang terdiri dari 1.459 entitas investasi ilegal, 9.180 entitas pinjaman online ilegal/pinpri, dan 251 entitas gadai ilegal.Satgas PASTI pun kembali mengingatkan masyarakat untuk selalu berhati-hati dan tidak menggunakan layanan pinjaman online ilegal maupun pinjaman pribadi. Masyarakat juga diminta untuk waspada terhadap penawaran aktivitas atau investasi dengan modus peniruan, khususnya melalui kanal media sosial seperti Telegram.(fsd/fsd)Saksikan video di bawah ini:Video: Peran OJK Dorong Akselerasi Tingkat Literasi & Inklusi KeuanganNext ArticleOJK Blokir 537 Pinjol Ilegal dan 13 Investasi Bodong"
"Bitcoin Diguyur Banyak Sentimen Positif, Pasar Kripto Malah Merah",19 August 2024 09:45,"Jakarta, CNBC Indonesia -Pasar kripto mengalami pelemahan pada hari ini, Senin(19/8/2024). Namun demikian, pemulihan harga Bitcoin diperkirakan sudah semakin di depan mata.Merujuk dariCoinMarketCappada Senin (19/8/2024) pukul 07:24 WIB, pasar kripto bergerak melemah. Bitcoin turun 1,82% ke US$58.425,62 dan secara mingguan berada di zona merah 0,55%.Baca:Kisah Negara Kecil Mendadak Kaya Raya Berkat BitcoinEthereum menguat tipis 0,02% dalam 24 jam terakhir dan dalam sepekan naik 2,31%.XRP mengalami depresiasi 0,39% secara harian Sementara dalam sepekan mengalami apresiasi 1,54%.Begitu pula Dogecoin yang tergelincir 2,57% dalam 24 jam terakhir dan dalam tujuh hari terakhir terpuruk 1,24%.CoinDesk Market Index (CMI) yang merupakan indeks untuk mengukur kinerja tertimbang kapitalisasi pasar dari pasar aset digital turun 1,07% ke angka 2.192,72 Open interest terdepresiasi 0,83% di angka US$52,13 miliar.Sedangkan fear & greed index yang dilansir daricoinmarketcap.commenunjukkan angka 45 yang menunjukkan bahwa pasar berada di fase netral dengan kondisi ekonomi dan industri kripto saat ini.Dikutip dariCointurk News, sejak Mei 2024, Bitcoin belum mampu kembali bergerak di atas level US$70.000, bahkan pada awal Agustus 2024 sempat bergerak di bawal level US$50.000.Pertama, mari kita lihat persentase investor yang meraih keuntungan pada grafik di bawah ini. Metrik ini efektif dalam menentukan puncak dan lembah harga. Terlihat bahwa rasio kerugian telah turun di bawah level selama penurunan pada bulan Juli. Ini adalah level terendah sejak awal 2024. Dengan demikian, menurut data historis, potensi untuk pemulihan dari titik terendah semakin meningkat.Rasio nilai pasar terhadap nilai terealisasi (market value to realized value ratio/MVRV) juga mengulangi level rendahnya pada bulan Juli. Level yang sedikit lebih rendah hanya terlihat pada awal 2024. Indikator kedua ini juga menunjukkan bahwa harga BTC perlu pulih.Terakhir, cadangan penambang kembali ke 1,91 juta setelah mencapai puncak lokal pada 30 Juli, namun telah mulai pulih dari titik terendah lokal dalam beberapa hari terakhir. Ini menunjukkan bahwa para penambang juga mulai kembali ke fase akumulasi.CNBC INDONESIA RESEARCH(rev/rev)Saksikan video di bawah ini:Buka-bukaan Mirza Soal Kondisi Asuransi & Kesiapan OJK Awasi Kripto CsNext ArticleBitcoin & Ethereum Naik, Kripto Sudah Capai Titik Terendah?"
Kisah Negara Kecil Mendadak Kaya Raya Berkat Bitcoin,17 August 2024 20:10,"Jakarta, CNBC Indonesia -El Salvador digadang-gadang bisa menjadi salah satu negara terkaya di dunia. Sebab, negara kecil di belahan Amerika Tengah ini menjadi negara pertama di dunia yang secara resmi menerima Bitcoin sebagai alat pembayaran yang sah.Pengesahan itu disusul dengan keputusan Presiden El Salvador, Nayib Bukele yang mengumumkan pemerintah mulai membeli 1 BTC per hari pada 16 November 2022.Keputusan yang awalnya kontroversial ini pada akhirnya berbuah manis. Saat ini, pemerintah El Salvador sudah mengumpulkan Bitcoin bernilai lebih dari 2.000 BTC atau pernah tembus US$ 150 juta. Namun, karena nilainya yang fluktuatif, kini terpantau nilainya di kisaran US$ 118 jutaan.Meski El Salvador sudah menggenggam Bitcoin dalam jumlah besar, Presiden Bukele bersikukuh tidak memiliki rencana untuk menjualnya. Padahal, El Salvador bisa saja mendapatkan keuntungan besar mengingat harga Bitcoin yang terus meningkat.Pilihan Redaksi8 Negara Ini Punya 500.000 Bitcoin: Rampasan Kriminal-Nambang SendiriPara pakar memprediksi langkah tersebut dapat membawa El Salvador menjadi salah satu negara terkaya di dunia. Salah satu kapitalis ventura berbasis di Silicon Valley, Tim Draper mengatakan, El Salvador sedang berkembang menjadi negara yang inovatif dan akan menjadi salah satu tempat paling menarik untuk ditinggali.Bahkan menurutnya, jika harga Bitcoin mencapai US$ 100.000, El Salvador dapat melunasi pinjamannya kepada Dana Moneter Internasional (IMF).Hal senada juga diungkapkan oleh Pendiri dan CEO CrossFi, Alexander Mamasidikov yang optimis bahwa El Salvador dapat menjadi negara mandiri secara finansial dan dapat fokus penuh pada masalah internal.Keputusan Presiden Bukele yang menegaskan tidak menjual kepemilikan Bitcoin pemerintah, memberi kepercayaan pada sebagian kecil populasi El Salvador yang telah menggunakan Bitcoin sebagai alat pembayaran.Seperti diketahui, El Salvador telah meninggalkan Dolar sebagai mata uang cadangan pada tahun 2021 lalu. Mamasidikov meyakini penggunaan BTC akan meningkatkan kekayaan negara tersebut ke depannya.Salah satu alasan keputusan pemerintah El Salvador menahan penjualan mata uang kripto tersebut karena tidak ingin merusakan kepercayaan pada inisiatif Bitcoin di negara tersebut. Bitcoin tetap digenggam walaupun negara sedang mengalami kesulitan ekonomi.Sebab, meskipun banyak warga El Salvador telah menggunakan Bitcoin, pemahaman dasar tentang konsep tersebut masih terbatas. Pemerintah menahan penjualan Bitcoin untuk meningkatkan pemahaman tentang Bitcoin di negara tersebut.(fab/fab)Saksikan video di bawah ini:Video: Warisi Program Hilirisasi Nikel Jokowi, PR Ini Menanti PrabowoNext ArticleEl Salvador Bisa Jadi Terkaya di Dunia Berkat Bitcoin"
"Ngenes! Sosok Ini Dapat Durian Runtuh Rp163 M, Tapi Berakhir Dipenjara",16 August 2024 12:50,"Jakarta, CNBC Indonesia- Memiliki uang banyak tentu bisa membawa kebahagiaan. Namun, ada kalanya kita harus cermat dan mempertanyakan asal-usul datangnya uang.Hal ini dilakukan agar tidak seperti warga India di Australia, Jatinder Singh (39). Singh mendadak punya harta Rp163 M yang dia yakini berasal dari keuntungan investasi.Pilihan RedaksiKisah Pahlawan Kemerdekaan Jadi Perampok Akibat Tak Punya UangSelir Jadi Ibu Negara, Wanita Ini 'Mandi Duit' Depan Rakyat MiskinGali Sawah, Petani Jawa Temukan Harta Karun 16 Kg EmasSayang, keyakinan tersebut tak membuatnya melakukan verifikasi ulang. Hingga akhirnya, dia pun masuk penjara.Bagaimana bisa?Suatu hari pada Mei 2021, Singh yang sedang giat berinvestasi kripto melakukan transaksi rutin ke situsCrypto.com. Dia menyetor uang US$100 atas nama pasangannya, Thevamangari Manivel.Namun, pihak pengelola menolak transaksi Singh karena ada perbedaan nama antara nama pemilik rekening bank dan nama akun. Seperti biasa, pengelola melakukan pengembalian dana ke rekening Singh.Saat transfer terjadi, ternyata pihak pengelola melakukan kesalahan fatal. Dalam laporanCanberra Times,dikutip Jum'at (16/8/2024), mereka tak mentransfer sesuai nominal US$100, tapi US$10,4 juta atau Rp163 Miliar.Kesalahan ini tak diketahui oleh Singh. Dia hanya tahu kalau saldo rekeningnya berubah menjadi Rp163 M.Mengetahui hal ini, dia langsung senang dan menggunakannya untuk foya-foya dan hidup mewah. Toh, dia sekarang sudah menjadi miliarder dadakan dan berpikir itu keuntungan dari kripto.Tercatat, dia melakukan pesta dan belanja dari uang tersebut. Dia membeli dua properti dan memberikan US$ 1 juta kepada seorang teman.Selain itu, dia juga melakukan transfer dana ke beberapa rekening. Total, ada 160 transaksi selama 10 bulan yang memakan dana US$6 juta.Semua dilakukan tanpa tahu. Kalau uang yang digunakan adalah salah transfer.Pada saat bersamaan, pihak bank pengelola berulangkali menghubungi Singh perihal kesalahan tersebut. Sayang, dia ogah mengangkatnya dan menganggapnya hanya penipuan semata.Barulah setahun kemudian, Singh kaget bukan kepalang saat rumahnya didatangi polisi. Polisi menahan warga India tersebut atas tuduhan pencurian.Di titik ini, dia lantas tahu kalau bahwa uang Rp163 M berasal dari kesalahan transfer. Apa daya, dia tak bisa mengembalikan dana yang sudah dipakai. Maka, mau tak mau dia harus berdiam diri di balik jeruji besi.""Pelanggaran Singh adalah kurangnya pertimbangan terkait pemahaman buruk atas perdagangan mata uang, keterbatasan pemecahan masalah, dan konsekuensi pengelolaan uang,"" kata Hakim Pengadilan Daerah Martine Marich.Alhasil, sebagai pertanggungjawaban,  Jatinder Singh didakwa 361 hari penjara. Sementara Thevamangari Manivel ditahan 209 hari. Hukumanya berjalan pada 2023 sampai sekarang.(mfa/sef)Saksikan video di bawah ini:Video: Lirik Prospek Bisnis Produk Perawatan Rambut Lokal Go Global"
"Kripto Turun Berjamaah, Pasar Khawatir Hal Ini",16 August 2024 07:05,"Jakarta, CNBC Indonesia -Pasar kripto mengalami pelemahan pada hari ini, Jumat(16/8/2024) diikuti dengan kekhawatiranyang kembali muncul tentang distribusi token oleh Mt. Gox dan keluarnya modal dari bursa.Merujuk dariCoinMarketCappada Jumat (16/8/2024) pukul 04:58 WIB, pasar kripto bergerak melemah. Bitcoin turun 2,24% ke US$57.580,76 dan secara mingguan berada di zona merah 5,44%.Ethereum berada di teritori negatif 3,58% dalam 24 jam terakhir dan dalam sepekan turun 1,5%.Solana mengalami depresiasi 1,75% secara harian dan dalam sepekan anjlok 10,74%.Begitu pula Dogecoin yang tergelincir 3,21% dalam 24 jam terakhir dan dalam tujuh hari terakhir terpuruk 4,84%.CoinDesk Market Index (CMI) yang merupakan indeks untuk mengukur kinerja tertimbang kapitalisasi pasar dari pasar aset digital turun 3,17% ke angka 2.142,94 Open interest terdepresiasi 0,9% di angka US$51,47 miliar.Sedangkan fear & greed index yang dilansir daricoinmarketcap.commenunjukkan angka 43 yang menunjukkan bahwa pasar berada di fase netral dengan kondisi ekonomi dan industri kripto saat ini.Dikutip dariInvesting.com, harga Bitcoin turun pada Kamis di tengah kekhawatiran yang kembali muncul tentang distribusi token oleh Mt. Gox dan keluarnya modal dari bursa besar yang juga memperburuk sentimen risiko.Kekhawatiran akan tekanan jual lebih lanjut sebagian besar menetralkan sinyal positif mengenai inflasi dan suku bunga di Amerika Serikat (AS), dan menyebabkan Bitcoin serta pasar kripto tertinggal dari rally yang terjadi di pasar berisiko yang lebih luas.Baca:IHSG Berakhir di Zona Merah, Tapi Masih Bertahan di Level 7.400Sebelumnya, kekhawatiran tentang penjualan yang berasal dari distribusi token oleh bursa kripto yang sudah tidak aktif, Mt. Gox, kembali menjadi fokus minggu ini, setelah sebuah dompet yang terkait dengan bursa tersebut dan menyimpan Bitcoin senilai US$2 miliar terlihat melakukan transaksi uji coba. Langkah ini bisa menandakan putaran distribusi token baru oleh bursa tersebut, setelah mulai mengembalikan Bitcoin yang dicuri selama peretasan tahun 2014 kepada klien pada bulan Juli.Kendati belum jelas seberapa banyak Bitcoin yang akan didistribusikan oleh Mt. Gox, para trader khawatir bahwa distribusi ini akan menambah tekanan jual pada mata uang kripto terbesar di dunia.Sebagai informasi, Mt. Gox sebelumnya dilaporkan telah menggerakkan sekitar US$9 miliar Bitcoin lebih awal tahun ini.Tidak sampai disitu, depresiasi Bitcoin juga tak lepas dari penarikan stablecoin USDT sekitar US$1 miliar pada Rabu pekan ini menjadi pendorong pelemahan Bitcoin.Arus keluar USDT yang besar telah menjadi pertanda kelemahan harga Bitcoin dalam beberapa bulan terakhir, dengan pergerakan ini kemungkinan menunjukkan bahwa para trader sedang menarik dana dari bursa sebagai persiapan menghadapi peristiwa yang mengurangi risiko.CNBC INDONESIA RESEARCH(rev/rev)Saksikan video di bawah ini:Buka-bukaan Mirza Soal Kondisi Asuransi & Kesiapan OJK Awasi Kripto CsNext ArticleAda yang Mau Tambah 205.000 Bitcoin, Kripto Kompak Naik"
"Pemerintah AS Pindahkan 10.000 BTC, Pasar Kripto Kena Syok",15 August 2024 08:51,"Jakarta, CNBC Indonesia -Pasar kripto bergerak mix pada hari ini, Kamis (15/8/2024) setelah pemerintah Amerika Serikat (AS) berbuat ulah dengan memindahkan Bitcoin yang dimiliki.Merujuk dariCoinMarketCappada Kamis (15/8/2024) pukul 08:22 WIB, pasar kripto bergerak variatif dengan tendensi melemah. Bitcoin turun 2,72% ke US$59.003,54 sementara secara mingguan berada di zona hijau 5,76%.Ethereum berada di teritori negatif 1,54% dalam 24 jam terakhir sedangkan dalam sepekan terbang 11,44%.Solana mengalami depresiasi 0,3% secara harian dan dalam sepekan menurun 0,58%.Sedangkan Toncoin justru menguat 6,47% dalam 24 jam terakhir dan dalam tujuh hari terakhir melesat 25,99%.CoinDesk Market Index (CMI) yang merupakan indeks untuk mengukur kinerja tertimbang kapitalisasi pasar dari pasar aset digital turun 2,4% ke angka 2.217,32 Open interest terdepresiasi 0,36% di angka US$52,29 miliar.Sedangkan fear & greed index yang dilansir daricoinmarketcap.commenunjukkan angka 52 yang menunjukkan bahwa pasar berada di fase netral dengan kondisi ekonomi dan industri kripto saat ini.Dikutip daricoindesk.com, Pemerintah AS pada Rabu memindahkan 10.000 Bitcoin (BTC) terkait Silk Road yang disita ke Coinbase Prime, platform institusi milik raksasa bursa tersebut, menurut data blockchain dari Arkham Intelligence. Dompet kripto yang memulai transfer tersebut menerima Bitcoin senilai sekitar US$600 juta dua minggu lalu dari dompet yang diberi label ""Pemerintah AS: Dana Disita Silk Road DOJ.""Baca:Kabar Baik Datang Dari AS, Rupiah Siap Menguat Lagi!Setoran ke bursa biasanya menandakan niat untuk menjual aset yang akhirnya memberikan sedikit kepanikan ke pasar. Namun dalam kasus ini, transfer mungkin dilakukan untuk alasan penyimpanan.Layanan Marshals AS, sebuah divisi dari Departemen Kehakiman (DOJ), mengumumkan kemitraan bulan lalu dengan Coinbase Prime untuk ""melindungi dan memperdagangkan"" aset digital berkapitalisasi besar.Tidak banyak informasi mengenai apa yang terjadi dengan token setelah mendarat di platform terpusat. Bitcoin turun ke US$59.000 dari US$61.000 sebelumnya pada hari itu, tetapi pergerakan harga yang kurang signifikan terjadi sebelum transaksi dilakukan.Untuk diketahui, DOJ mengumumkan pada 2022 bahwa mereka menyita lebih dari 50.000 BTC dan menangkap James Zhong, yang mengaku bersalah atas penipuan kabel setelah pemerintah mengklaim dia memanipulasi sistem transaksi di pasar gelap Silk Road pada 2012.Penjualan aset Silk Road terakhir yang dikonfirmasi oleh pemerintah terjadi pada Maret 2023, ketika mereka menjual 9.861 koin seharga US$216 juta, menurut dokumen pengadilan. Dalam dokumen tersebut, pemerintah merinci rencana untuk menjual sisa aset dalam empat tahap selama tahun itu, tetapi tidak ada komunikasi lanjutan tentang penjualan setelah itu.CNBC INDONESIA RESEARCH(rev/rev)Saksikan video di bawah ini:Video: Terkerek Data Ekonomi AS, IHSG & Rupiah Ditutup SumringahNext ArticleETF Bitcoin Spot Dikritik 2 Senator AS, Kripto Surut ke Zona Merah"
"Sempat Turun ke US$ 49.000, Bitcoin Bisa Jaga Tren Kenaikan Harga?",14 August 2024 18:00,"Jakarta, CNBC Indonesia- Bitcoin kembali menjadi sorotan setelah sempat merosot ke US$49.000 dan naik ke level US$60.000-an selama sepekan terakhir. Tren ini pun dinilai akan bertahan beberapa waktu ke depan.Crypto Analyst Reku Fahmi Almuttaqin mengaitkan peningkatan ini dengan situasi jenuh jual imbas koreksi yang sebenarnya telah berlangsung sejak 21 Juli lalu. Hal ini disebut bisa terjadi meski penurunan signifikan terjadi pada 5 Agustus.Baca:ETF Ethereum Spot Catat Inflow Rp80 Miliar, Pasar Kripto Kompak Hijau""Namun, keberlanjutan dari penguatan ini masih akan sangat dipengaruhi oleh perkembangan kondisi, termasuk situasi ekonomi makro di Amerika Serikat, terutama data Consumer Price Index (CPI) dan penjualan ritel AS yang akan dirilis pada 14 dan 15 Agustus,"" jelas Fahmi dalam keterangan resmi, Rabu, (15/8/2024).Fahmi juga menyoroti ketidakpastian terkait kebijakan The Fed, yang bisa membuat investor lebih berhati-hati terhadap aset berisiko tinggi seperti kripto.Di sisi lain, perkembangan di sektor altcoin juga menarik perhatian, dengan banyak proyek yang merilis fitur baru dan melihat peningkatan jumlah transaksi serta pengguna aktif. Namun, meski ada perkembangan positif, banyak altcoin dengan kapitalisasi pasar menengah masih terkoreksi.""Hal ini terjadi sebab para pelaku pasar lebih berfokus pada atensi yang berkembang untuk memilih aset untuk ditransaksikan, sementara atensi yang berkembang terhadap altcoin ketika pasar terkoreksi cenderung minim. Ketika situasi mulai berbalik dan atensi terhadap aset kripto secara lebih luas kembali meningkat, perhatian para pelaku pasar terhadap altcoin khususnya di sektor-sektor potensial, berpotensi melonjak seperti pada siklus-siklus pasar kripto sebelumnya,"" jelasnya.Melansir CoinMarketCap per Selasa, (14/8/2023) pada pukul 09.00 WIB, Bitcoin menghijau ke level $60.718 atau setara Rp953 juta. Kenaikan tersebut turut diikuti sejumlah aset kripto lainnya seperti Ethereum yang meningkat 7,84%, XRP 13,56%, Toncoin 11,24% selama sepekan.(fsd/fsd)Saksikan video di bawah ini:Kios Pandawa Kita, Jurus BI Jaga Inflasi & Perkuat Ekonomi JatengNext ArticleHarga Kripto Terbang, Bisa Cari ""THR"" Lewat Sini"
"ETF Ethereum Spot Catat Inflow Rp80 Miliar, Pasar Kripto Kompak Hijau",14 August 2024 06:55,"Jakarta, CNBC Indonesia -Pasar kripto kompak menguat pada hari ini, Rabu (14/8/2024) setelah dana yang diperdagangkan di bursa Amerika Serikat (ETF Ethereum Spot) mulai tercatatnet inflow.Merujuk dariCoinMarketCappada Rabu (14/8/2024) pukul 04:43 WIB, pasar kripto kompak naik. Bitcoin menguat 3,33% ke US$61.013,31 dan secara mingguan berada di zona hijau 8,35%.Ethereum berada di teritori positif 1,32% dalam 24 jam terakhir dan dalam sepekan terbang 9,56%.BNB mengalami apresiasi 2,06% secara harian dan dalam sepekan menguat 7,46%.Begitu pula dengan Toncoin yang merangkak naik 3,96% dalam 24 jam terakhir dan dalam tujuh hari terakhir melesat 11,8%.CoinDesk Market Index (CMI) yang merupakan indeks untuk mengukur kinerja tertimbang kapitalisasi pasar dari pasar aset digital naik 2,87% ke angka 2.277,34 Open interest terapresiasi 3,03% di angka US$52,7 miliar.Sedangkan fear & greed index yang dilansir daricoinmarketcap.commenunjukkan angka 52 yang menunjukkan bahwa pasar berada di fase netral dengan kondisi ekonomi dan industri kripto saat ini.Dikutip daricoindesk.com, sebuah dompet kripto yang baru-baru ini menerima US$2 miliar dalam bentuk Bitcoin (BTC) dari wali amanat bursa Mt. Gox yang bangkrut melakukan transaksi uji coba pada Selasa, mungkin untuk mempersiapkan distribusi dana kepada kreditor, menurut firma analitik blockchain Arkham Intelligence.Analis Arkham mengatakan bahwa dompet yang memulai transfer tersebut kemungkinan besar milik platform kustodian kripto BitGo, salah satu dari lima penyedia layanan yang mendistribusikan token kepada kreditor. Mereka menambahkan bahwa BitGo adalah satu-satunya mitra distribusi yang tersisa.Baca:Masalah Datang Silih Berganti, Akankah AS Selamatkan Intel?Transaksi uji coba ini mengikuti transfer 33.100 BTC dua minggu yang lalu, yang bernilai US$2,2 miliar pada saat itu, dari dompet dingin Mt. Gox yang menyimpan dana kreditor.Di lain sisi, ada kabar baik dari ETF Ethereum Spot tepatnya Grayscale Ethereum Trust (ETHE) yang mencatatkan hari pertama tanpa aliran keluar, mengakhiri serangkaian hari berturut-turut dengan aliran keluar sejak peluncurannya, dikutip dariCointelegraph.Pada 12 Agustus, aliran dana untuk ETF Ether berbalik positif untuk kelima kalinya sejak peluncurannya pada 23 Juli, didorong oleh ETHE yang mencatatkan hari pertama tanpa aliran keluar, menurut data Farside.Foto: Ethereum ETF Flow (US$m)Sumber: FarsideCNBC INDONESIA RESEARCH(rev/rev)Saksikan video di bawah ini:Buka-bukaan Mirza Soal Kondisi Asuransi & Kesiapan OJK Awasi Kripto CsNext ArticleETF Ethereum Gagal Disetujui Mei 2024? Kripto Kompak Ambruk"
Buka-bukaan Mirza Soal Kondisi Asuransi & Kesiapan OJK Awasi Kripto Cs,13 August 2024 19:02,"Jakarta, CNBC Indonesia-Otoritas Jasa Keuangan (OJK) mencatat kinerja sektor jasa keuangan yang masih tumbuh positif sepanjang 2024 dengan pertumbuhan kredit perbankan 12,3% di H1-2024.Wakil Ketua Dewan Komisioner OJK, Mirza Adityaswara menyebutkan Gross NPL perbankan sebesar 2,26% per Juni 2024 atau jauh lebih baik dibanding periode pra pandemi sebesar 2,5%. Di sisi Risiko Peminjaman atau LAR (Loan at Risk) turun 10,51% membaik dari periode pandemi yang tembus 28%.Sementara Liquid Asset to Deposit (LAD) juga membaik ke level 25% dengan Return on asset atau ROA perbankan RI di Desember 2019 di 2,3% sementara saat ini 2,6% sehingga menjadi daya tarik investasi asing ke perbankan RI.Di sisi Asuransi, OJK menyebutkan sektor asuransi kesehatan mampu mencatatkan pertumbuhan premi yang positif mencapai 32% meski Produk Asuransi Yang Dikaitkan Dengan Investasi (PAYDI) masih tumbuh negatif.Terkait pasar modal, Mirza menyebut kondisinya cukup menantang mengingat nilai IPO hingga rights issue baru mencapai angka Rp129 triliun. Oleh karena itu dibutuhkan upaya mendorong minat pendanaan di pasar modal RI sekaligus menarik dana asing ke dalam negeri lebih lama.Seperti apa perkembangan bisnis jasa keuangan? dan bagaimana kesiapan OJK terkait pengawasan perdagangan kripto dan aset keuangan digital di awal 2025? Selengkapnya simak dialog Anneke Wijaya dengan Wakil Ketua Dewan Komisioner Otoritas Jasa Keuangan (OJK), Mirza Adityaswara dalam Power Lunch, CNBC Indonesia (Selasa, 13/08/2024)"
"Skema Ponzi Penipuan Kripto Rp 10 T, Regulator AS Gugat NovaTech",13 August 2024 17:15,"Jakarta, CNBC Indonesia- Komisi Sekuritas dan Bursa Amerika Serikat (AS) menggugat perusahaan mata uang kripto NovaTech dan salah satu pendirinya karena mereka telah menipu lebih dari 200 juta investor di seluruh dunia senilai US$ 650 juta atau setra Rp 10,4 triliun (asumsi kurs Rp 16.000/US$), termasuk banyak orang Amerika keturunan Haiti.Mengutip Reuters, NovaTech dan salah satu pendirinya, Cynthia dan Eddy Petion, diduga menjanjikan para investor bahwa uang mereka akan aman. Bahkan, Cynthia Petion memastikan bahwa mereka akan untung sejak hari pertama.Baca:Crypto Wallet Ini Tembus 30 Juta Pengguna, Naik 50% dalam 4 BulanSEC mengatakan bahwa Petion malah menggunakan dana segar baru untuk membayar investor sebelumnya dan membayar komisi kepada promotor, sambil menyedot jutaan dolar untuk diri mereka sendiri. Skema ini berlangsung selama empat tahun hingga keruntuhan NovaTech pada Mei 2023.Gugatan tersebut dilayangkan pada hari Senin di pengadilan federal Miami atau berselang dua bulan setelah Jaksa Agung New York Letitia James menggugat NovaTech dan Petisi di pengadilan negara bagian di Manhattan. Diperkirakan penipuan mereka mencapai lebih dari US$ 1 miliar.Regulator mengatakan bahwa NovaTech mencoba menarik kepercayaan agama para korban melalui media sosial, Telegram dan WhatsApp, dan terkadang dalam bahasa Kreol Haiti. Motif yang dilakukan Cynthia Petion mencap dirinya sendiri sebagai CEO Pendeta dan mengatakan bahwa NovaTech adalah visi Tuhan.Sayangnya, pengacara untuk NovaTech dan Petion yang diyakini tinggal di Panama belum dapat dikonfirmasiKedua regulator menyebut penipuan ini sebagai skema piramida, di mana perusahaan membayar bonus atau komisi untuk merekrut investor baru.SEC juga mendakwa enam promotor NovaTech dengan tuduhan penipuan, dengan mengatakan bahwa mereka terus merekrut investor meskipun ada tanda bahaya, seperti penarikan dana yang tertunda dan tindakan regulasi AS dan Kanada, yang menimbulkan pertanyaan tentang legitimasi NovaTech.Seorang promotor, Martin Zizi, setuju untuk membayar denda perdata sebesar US$100.000. Namun, engacaranya tidak segera menanggapi permintaan komentar.Kedua tuntutan hukum tersebut menuntut ganti rugi bagi para korban dan denda perdata.(fsd/fsd)Saksikan video di bawah ini:Buka-bukaan Mirza Soal Kondisi Asuransi & Kesiapan OJK Awasi Kripto CsNext ArticleRegulator AS (SEC) Digugat, Investor Ramai-Ramai Serbu Kripto?"
